config_name,Total,TP,TN,FP,FN,Acurácia,Precisão,Recall,F1-Score,Latência Média (s),Latência Máxima (s)
config_Safeguard,2061.0,644.0,1408.0,2.0,7.0,0.9956,0.9969,0.9892,0.9931,0.2625,10.0833
config_Colang,2061.0,616.0,1345.0,65.0,35.0,0.9515,0.9046,0.9462,0.9249,0.0813,8.3293
config_NemoGuard,2061.0,104.0,1410.0,0.0,547.0,0.7346,1.0,0.1598,0.2755,0.1963,1.5296
